Date,Abap,Ada,C/C++,C#,Cobol,Dart,Delphi/Pascal,Go,Groovy,Haskell,Java,JavaScript,Julia,Kotlin,Lua,Matlab,Objective-C,Perl,PHP,Powershell,Python,R,Ruby,Rust,Scala,Swift,TypeScript,VBA,Visual Basic
July 2004,0.33999999999999997,0.36,10.01,4.68,0.42,0,2.8000000000000003,0,0.03,0.22,30.159999999999997,8.59,0,0.24,0.16,2.1,0.19,7.33,18.62,0.16,2.5100000000000002,0.38999999999999996,0.33,0.24,0.16999999999999998,0,0,1.43,8.5
August 2004,0.35000000000000003,0.36,9.74,4.96,0.45999999999999996,0,2.65,0,0.06999999999999999,0.2,29.799999999999997,8.72,0,0.22,0.15,2.03,0.18,7.07,19.139999999999997,0.15,2.62,0.4,0.4,0.19,0.16999999999999998,0,0,1.4500000000000002,8.51
September 2004,0.41000000000000003,0.41000000000000003,9.59,5.04,0.51,0,2.64,0,0.08,0.21,29.59,8.67,0,0.15,0.19,2.1,0.19,7.000000000000001,19.42,0.08,2.71,0.4,0.41000000000000003,0.16999999999999998,0.13,0,0,1.54,8.38
October 2004,0.4,0.38,9.47,5.29,0.53,0,2.76,0,0.09,0.2,29.020000000000003,8.44,0,0.11,0.22,2.23,0.2,7.1499999999999995,19.28,0.12,2.91,0.42,0.45999999999999996,0.12,0.13999999999999999,0,0,1.6099999999999999,8.459999999999999
November 2004,0.38,0.38,9.48,5.220000000000001,0.5499999999999999,0,2.75,0,0.06999999999999999,0.24,29.48,8.48,0,0.08,0.22999999999999998,2.1999999999999997,0.22,7.03,19.36,0.12,2.83,0.41000000000000003,0.44,0.16999999999999998,0.15,0,0,1.5,8.21
December 2004,0.36,0.37,9.53,5.220000000000001,0.53,0,2.76,0,0.09,0.22,29.69,8.53,0,0.08,0.21,2.1399999999999997,0.21,7.04,19.68,0.04,2.7,0.38999999999999996,0.42,0.19,0.12,0,0,1.4500000000000002,8.06
January 2005,0.38999999999999996,0.38,9.69,5.2299999999999995,0.5599999999999999,0,2.65,0,0.11,0.21,29.64,8.36,0,0.04,0.24,2.21,0.19,6.99,19.79,0.04,2.91,0.38999999999999996,0.47000000000000003,0.15,0.09,0,0,1.5,7.779999999999999
February 2005,0.37,0.38999999999999996,9.86,5.2,0.49,0,2.6599999999999997,0,0.06999999999999999,0.21,30.240000000000002,8.110000000000001,0,0.04,0.25,2.31,0.18,6.909999999999999,19.59,0.05,2.87,0.38,0.44999999999999996,0.16,0.09,0,0.01,1.4500000000000002,7.6499999999999995
March 2005,0.33999999999999997,0.37,9.87,5.37,0.44999999999999996,0,2.65,0,0.08,0.22999999999999998,30.15,8.260000000000002,0,0.04,0.22999999999999998,2.35,0.15,6.859999999999999,19.509999999999998,0.05,2.8000000000000003,0.42,0.45999999999999996,0.13,0.11,0,0.01,1.44,7.66
April 2005,0.33999999999999997,0.36,9.83,5.41,0.41000000000000003,0,2.55,0,0.08,0.22,30.5,8.38,0,0.02,0.22,2.21,0.13,6.72,19.900000000000002,0.01,2.77,0.4,0.43,0.13999999999999999,0.1,0,0.01,1.35,7.51
May 2005,0.35000000000000003,0.37,9.700000000000001,5.609999999999999,0.4,0,2.4899999999999998,0,0.09,0.22999999999999998,30.19,8.24,0,0,0.22999999999999998,2.23,0.13,6.74,19.84,0.05,2.87,0.41000000000000003,0.47000000000000003,0.11,0.09,0,0.05,1.46,7.6499999999999995
June 2005,0.35000000000000003,0.36,9.44,5.76,0.4,0,2.4299999999999997,0,0.08,0.22999999999999998,30.34,8.33,0,0,0.24,2.2800000000000002,0.12,6.550000000000001,19.75,0.08,2.94,0.41000000000000003,0.5499999999999999,0.09,0.09,0,0.06,1.55,7.57
July 2005,0.33,0.33999999999999997,9.28,6.16,0.38999999999999996,0,2.5,0,0.08,0.24,30.29,8.4,0,0,0.21,2.27,0.13,6.460000000000001,19.45,0.08,2.97,0.44,0.62,0.11,0.1,0,0.08,1.58,7.51
